Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-15 00:00:00-04:00,2967.0,3003.25,2966.25,2997.75,229519,0.0,0.0
2019-10-16 00:00:00-04:00,2998.25,2998.25,2984.75,2991.5,233214,0.0,0.0
2019-10-17 00:00:00-04:00,2992.5,3008.0,2985.25,2998.0,250867,0.0,0.0
2019-10-18 00:00:00-04:00,2998.5,3001.0,2975.0,2988.25,263667,0.0,0.0
2019-10-21 00:00:00-04:00,2985.0,3007.5,2983.75,3006.5,183087,0.0,0.0
2019-10-22 00:00:00-04:00,3006.75,3014.0,2988.0,2994.5,258327,0.0,0.0
2019-10-23 00:00:00-04:00,2991.75,3007.0,2982.0,3005.75,202708,0.0,0.0
2019-10-24 00:00:00-04:00,3005.5,3015.5,2998.5,3004.25,225499,0.0,0.0
2019-10-25 00:00:00-04:00,3004.0,3026.5,3000.0,3020.25,197825,0.0,0.0
2019-10-28 00:00:00-04:00,3023.0,3042.75,3022.0,3036.25,177810,0.0,0.0
2019-10-29 00:00:00-04:00,3039.0,3046.0,3029.5,3035.75,204832,0.0,0.0
2019-10-30 00:00:00-04:00,3036.25,3055.5,3023.25,3047.75,251594,0.0,0.0
2019-10-31 00:00:00-04:00,3052.5,3052.75,3020.0,3035.75,339183,0.0,0.0
2019-11-01 00:00:00-04:00,3036.75,3065.25,3033.0,3063.25,193991,0.0,0.0
2019-11-04 00:00:00-05:00,3064.25,3083.5,3064.25,3075.75,174837,0.0,0.0
2019-11-05 00:00:00-05:00,3077.25,3085.75,3069.75,3072.0,197388,0.0,0.0
2019-11-06 00:00:00-05:00,3071.75,3078.0,3063.25,3075.5,217605,0.0,0.0
2019-11-07 00:00:00-05:00,3077.25,3097.5,3070.25,3086.0,205063,0.0,0.0
2019-11-08 00:00:00-05:00,3086.5,3092.5,3072.5,3090.5,155419,0.0,0.0
2019-11-11 00:00:00-05:00,3091.0,3092.0,3074.5,3087.5,114085,0.0,0.0
2019-11-12 00:00:00-05:00,3087.75,3102.0,3081.25,3092.0,164987,0.0,0.0
2019-11-13 00:00:00-05:00,3091.5,3097.0,3075.75,3095.5,203289,0.0,0.0
2019-11-14 00:00:00-05:00,3096.25,3099.75,3081.75,3097.0,176971,0.0,0.0
2019-11-15 00:00:00-05:00,3097.5,3119.5,3095.75,3118.25,156320,0.0,0.0
2019-11-18 00:00:00-05:00,3119.25,3128.0,3111.0,3121.75,159079,0.0,0.0
2019-11-19 00:00:00-05:00,3122.0,3132.5,3112.75,3118.5,185564,0.0,0.0
2019-11-20 00:00:00-05:00,3116.25,3118.5,3090.75,3109.0,288461,0.0,0.0
2019-11-21 00:00:00-05:00,3099.75,3114.5,3091.25,3104.0,246821,0.0,0.0
2019-11-22 00:00:00-05:00,3103.75,3114.5,3097.75,3111.5,167387,0.0,0.0
2019-11-25 00:00:00-05:00,3117.5,3133.5,3116.5,3132.75,106466,0.0,0.0
2019-11-26 00:00:00-05:00,3131.25,3144.75,3128.0,3143.75,147559,0.0,0.0
2019-11-27 00:00:00-05:00,3143.75,3155.0,3141.75,3153.75,109230,0.0,0.0
2019-11-29 00:00:00-05:00,3154.25,3155.5,3139.5,3143.75,117741,0.0,0.0
2019-12-02 00:00:00-05:00,3145.0,3157.75,3110.25,3114.25,337301,0.0,0.0
2019-12-03 00:00:00-05:00,3114.0,3122.0,3069.5,3091.0,398053,0.0,0.0
2019-12-04 00:00:00-05:00,3091.75,3119.5,3081.75,3111.0,251916,0.0,0.0
2019-12-05 00:00:00-05:00,3110.75,3124.75,3103.5,3117.75,263471,0.0,0.0
2019-12-06 00:00:00-05:00,3117.5,3151.25,3117.0,3146.0,192303,0.0,0.0
2019-12-09 00:00:00-05:00,3146.5,3149.5,3131.25,3134.5,159703,0.0,0.0
2019-12-10 00:00:00-05:00,3133.25,3143.0,3116.25,3136.0,260448,0.0,0.0
2019-12-11 00:00:00-05:00,3136.0,3144.5,3129.75,3143.0,189582,0.0,0.0
2019-12-12 00:00:00-05:00,3143.75,3177.25,3137.0,3168.0,382964,0.0,0.0
2019-12-13 00:00:00-05:00,3173.75,3185.0,3156.75,3172.0,78098,0.0,0.0
2019-12-16 00:00:00-05:00,3175.0,3198.75,3173.75,3194.25,19693,0.0,0.0
2019-12-17 00:00:00-05:00,3192.5,3199.25,3187.75,3192.0,13568,0.0,0.0
2019-12-18 00:00:00-05:00,3189.75,3198.75,3188.0,3194.75,8339,0.0,0.0
2019-12-19 00:00:00-05:00,3195.5,3209.25,3190.25,3207.0,7317,0.0,0.0
2019-12-20 00:00:00-05:00,3207.75,3231.02001953125,3204.0,3231.02001953125,152944,0.0,0.0
2019-12-23 00:00:00-05:00,3226.25,3234.25,3224.25,3227.25,88119,0.0,0.0
2019-12-24 00:00:00-05:00,3227.5,3231.0,3222.5,3225.75,40939,0.0,0.0
2019-12-26 00:00:00-05:00,3226.75,3244.75,3226.75,3244.5,59828,0.0,0.0
2019-12-27 00:00:00-05:00,3241.75,3254.0,3235.5,3237.5,151910,0.0,0.0
2019-12-30 00:00:00-05:00,3237.5,3244.5,3217.25,3223.5,191801,0.0,0.0
2019-12-31 00:00:00-05:00,3223.0,3236.0,3213.0,3231.0,144320,0.0,0.0
2020-01-02 00:00:00-05:00,3237.0,3261.75,3234.25,3259.0,178832,0.0,0.0
2020-01-03 00:00:00-05:00,3260.75,3263.25,3207.0,3235.5,310875,0.0,0.0
2020-01-06 00:00:00-05:00,3222.75,3249.5,3208.75,3243.5,246527,0.0,0.0
2020-01-07 00:00:00-05:00,3243.0,3254.5,3226.0,3235.25,221754,0.0,0.0
2020-01-08 00:00:00-05:00,3232.0,3267.5,3181.0,3260.25,488406,0.0,0.0
2020-01-09 00:00:00-05:00,3259.75,3276.75,3257.75,3276.0,198451,0.0,0.0
2020-01-10 00:00:00-05:00,3275.5,3287.0,3260.75,3264.75,218016,0.0,0.0
2020-01-13 00:00:00-05:00,3265.75,3291.0,3265.5,3289.75,156703,0.0,0.0
2020-01-14 00:00:00-05:00,3289.0,3296.5,3275.25,3288.0,267615,0.0,0.0
2020-01-15 00:00:00-05:00,3287.5,3299.0,3278.0,3293.75,235400,0.0,0.0
2020-01-16 00:00:00-05:00,3293.75,3318.0,3293.75,3316.5,176499,0.0,0.0
2020-01-17 00:00:00-05:00,3316.75,3330.25,3316.0,3325.0,172211,0.0,0.0
2020-01-21 00:00:00-05:00,3324.5,3330.0,3307.25,3319.5,262273,0.0,0.0
2020-01-22 00:00:00-05:00,3320.5,3337.5,3315.25,3319.75,221789,0.0,0.0
2020-01-23 00:00:00-05:00,3317.0,3327.0,3301.5,3326.0,349429,0.0,0.0
2020-01-24 00:00:00-05:00,3326.25,3337.0,3280.5,3293.5,521297,0.0,0.0
2020-01-27 00:00:00-05:00,3273.0,3273.0,3233.0,3239.5,521503,0.0,0.0
2020-01-28 00:00:00-05:00,3239.5,3285.0,3238.5,3278.25,349143,0.0,0.0
2020-01-29 00:00:00-05:00,3282.25,3292.75,3265.25,3272.5,379821,0.0,0.0
2020-01-30 00:00:00-05:00,3272.0,3295.25,3239.5,3289.75,541849,0.0,0.0
2020-01-31 00:00:00-05:00,3292.75,3297.5,3212.5,3224.0,642183,0.0,0.0
2020-02-03 00:00:00-05:00,3222.0,3267.25,3221.5,3245.5,386183,0.0,0.0
2020-02-04 00:00:00-05:00,3244.75,3305.25,3236.0,3299.5,356578,0.0,0.0
2020-02-05 00:00:00-05:00,3299.25,3338.25,3288.25,3335.0,416320,0.0,0.0
2020-02-06 00:00:00-05:00,3336.0,3357.5,3332.5,3345.25,291379,0.0,0.0
2020-02-07 00:00:00-05:00,3348.75,3350.0,3320.75,3325.5,382351,0.0,0.0
2020-02-10 00:00:00-05:00,3322.0,3353.5,3303.25,3353.0,277254,0.0,0.0
2020-02-11 00:00:00-05:00,3350.75,3374.5,3349.5,3357.5,281600,0.0,0.0
2020-02-12 00:00:00-05:00,3359.75,3381.5,3355.5,3380.5,215754,0.0,0.0
2020-02-13 00:00:00-05:00,3380.25,3384.75,3348.5,3377.5,325469,0.0,0.0
2020-02-14 00:00:00-05:00,3379.0,3388.25,3365.25,3381.0,236867,0.0,0.0
2020-02-18 00:00:00-05:00,3381.25,3392.5,3355.25,3369.25,333634,0.0,0.0
2020-02-19 00:00:00-05:00,3371.5,3394.0,3370.75,3387.25,213909,0.0,0.0
2020-02-20 00:00:00-05:00,3391.25,3397.5,3339.5,3369.25,554873,0.0,0.0
2020-02-21 00:00:00-05:00,3366.75,3369.5,3327.75,3339.25,477927,0.0,0.0
2020-02-24 00:00:00-05:00,3315.0,3315.0,3213.75,3226.25,824521,0.0,0.0
2020-02-25 00:00:00-05:00,3224.25,3259.5,3117.25,3132.5,1152006,0.0,0.0
2020-02-26 00:00:00-05:00,3139.0,3182.0,3090.5,3110.25,1070134,0.0,0.0
2020-02-27 00:00:00-05:00,3101.25,3117.0,2944.5,2957.0,1282240,0.0,0.0
2020-02-28 00:00:00-05:00,2950.5,2995.75,2853.0,2951.0,1735325,0.0,0.0
2020-03-02 00:00:00-05:00,2904.0,3093.0,2888.0,3065.0,946817,0.0,0.0
2020-03-03 00:00:00-05:00,3077.0,3136.5,2973.0,2997.0,1096486,0.0,0.0
2020-03-04 00:00:00-05:00,2988.75,3129.25,2976.75,3114.75,647060,0.0,0.0
2020-03-05 00:00:00-05:00,3110.0,3114.0,2996.75,3015.5,718122,0.0,0.0
2020-03-06 00:00:00-05:00,3024.0,3037.0,2898.0,2964.0,913066,0.0,0.0
2020-03-09 00:00:00-04:00,2916.5,2917.0,2713.5,2747.75,806067,0.0,0.0
2020-03-10 00:00:00-04:00,2733.5,2884.75,2694.75,2865.75,1061592,0.0,0.0
2020-03-11 00:00:00-04:00,2861.75,2869.5,2703.0,2740.25,1109823,0.0,0.0
2020-03-12 00:00:00-04:00,2738.25,2773.5,2442.0,2469.0,1447148,0.0,0.0
2020-03-13 00:00:00-04:00,2433.0,2708.5,2393.25,2696.0,503889,0.0,0.0
2020-03-16 00:00:00-04:00,2673.75,2698.5,2351.0,2416.25,190088,0.0,0.0
2020-03-17 00:00:00-04:00,2420.75,2554.25,2365.0,2495.5,167283,0.0,0.0
2020-03-18 00:00:00-04:00,2478.75,2498.75,2273.5,2414.0,95464,0.0,0.0
2020-03-19 00:00:00-04:00,2414.25,2474.25,2287.25,2403.25,101131,0.0,0.0
2020-03-20 00:00:00-04:00,2365.0,2513.0,2343.0,2437.97998046875,1626055,0.0,0.0
2020-03-23 00:00:00-04:00,2220.5,2385.5,2174.0,2220.5,1317779,0.0,0.0
2020-03-24 00:00:00-04:00,2233.25,2448.0,2230.25,2438.0,1057349,0.0,0.0
2020-03-25 00:00:00-04:00,2442.5,2561.5,2378.25,2467.0,1397589,0.0,0.0
2020-03-26 00:00:00-04:00,2471.5,2626.0,2401.75,2608.0,1146174,0.0,0.0
2020-03-27 00:00:00-04:00,2627.0,2635.0,2505.5,2524.0,1022402,0.0,0.0
2020-03-30 00:00:00-04:00,2465.0,2621.5,2447.0,2611.25,944238,0.0,0.0
2020-03-31 00:00:00-04:00,2612.25,2639.25,2555.75,2569.75,864900,0.0,0.0
2020-04-01 00:00:00-04:00,2562.5,2562.5,2434.25,2448.0,884677,0.0,0.0
2020-04-02 00:00:00-04:00,2458.25,2525.0,2424.75,2516.5,1060722,0.0,0.0
2020-04-03 00:00:00-04:00,2514.0,2529.5,2448.75,2482.75,823086,0.0,0.0
2020-04-06 00:00:00-04:00,2483.25,2668.5,2483.25,2644.5,758938,0.0,0.0
2020-04-07 00:00:00-04:00,2645.5,2749.0,2623.75,2642.0,1179264,0.0,0.0
2020-04-08 00:00:00-04:00,2640.75,2752.5,2620.75,2735.0,989636,0.0,0.0
2020-04-09 00:00:00-04:00,2737.5,2809.75,2700.25,2779.75,1114248,0.0,0.0
2020-04-13 00:00:00-04:00,2807.0,2820.5,2710.25,2759.25,800021,0.0,0.0
2020-04-14 00:00:00-04:00,2760.5,2848.75,2752.5,2843.0,735110,0.0,0.0
2020-04-15 00:00:00-04:00,2843.5,2845.75,2751.25,2775.0,861143,0.0,0.0
2020-04-16 00:00:00-04:00,2767.5,2831.5,2746.5,2787.5,960929,0.0,0.0
2020-04-17 00:00:00-04:00,2858.0,2885.25,2821.0,2870.0,958259,0.0,0.0
2020-04-20 00:00:00-04:00,2861.75,2875.75,2804.25,2806.5,951288,0.0,0.0
2020-04-21 00:00:00-04:00,2807.0,2833.25,2717.25,2732.0,1350460,0.0,0.0
2020-04-22 00:00:00-04:00,2737.25,2808.0,2717.25,2788.5,844258,0.0,0.0
2020-04-23 00:00:00-04:00,2790.25,2836.75,2772.5,2780.75,1098113,0.0,0.0
2020-04-24 00:00:00-04:00,2777.0,2836.0,2755.0,2829.5,718259,0.0,0.0
2020-04-27 00:00:00-04:00,2828.75,2883.0,2812.75,2869.0,695131,0.0,0.0
2020-04-28 00:00:00-04:00,2867.75,2913.5,2851.25,2867.25,974954,0.0,0.0
2020-04-29 00:00:00-04:00,2870.75,2959.5,2860.75,2941.0,912841,0.0,0.0
2020-04-30 00:00:00-04:00,2956.5,2965.25,2878.25,2902.5,1134559,0.0,0.0
2020-05-01 00:00:00-04:00,2873.0,2879.5,2811.75,2821.75,990942,0.0,0.0
2020-05-04 00:00:00-04:00,2793.0,2835.75,2770.75,2825.25,886987,0.0,0.0
2020-05-05 00:00:00-04:00,2827.0,2889.5,2824.5,2858.25,760646,0.0,0.0
2020-05-06 00:00:00-04:00,2857.5,2886.25,2832.0,2833.5,888865,0.0,0.0
2020-05-07 00:00:00-04:00,2832.25,2894.75,2823.25,2880.0,833230,0.0,0.0
2020-05-08 00:00:00-04:00,2881.75,2932.75,2879.25,2928.5,641598,0.0,0.0
2020-05-11 00:00:00-04:00,2921.0,2946.5,2889.5,2922.75,801756,0.0,0.0
2020-05-12 00:00:00-04:00,2919.0,2939.75,2838.0,2852.5,974692,0.0,0.0
2020-05-13 00:00:00-04:00,2840.0,2876.5,2786.25,2813.0,1541126,0.0,0.0
2020-05-14 00:00:00-04:00,2820.25,2853.75,2760.25,2847.0,1353295,0.0,0.0
2020-05-15 00:00:00-04:00,2846.0,2863.0,2809.5,2846.5,1151670,0.0,0.0
2020-05-18 00:00:00-04:00,2860.0,2964.5,2850.0,2948.0,768821,0.0,0.0
2020-05-19 00:00:00-04:00,2945.0,2976.25,2913.75,2918.75,921190,0.0,0.0
2020-05-20 00:00:00-04:00,2913.75,2975.75,2908.5,2968.5,865157,0.0,0.0
2020-05-21 00:00:00-04:00,2972.0,2973.5,2933.0,2937.0,1079352,0.0,0.0
2020-05-22 00:00:00-04:00,2936.75,2957.25,2903.75,2953.0,866849,0.0,0.0
2020-05-26 00:00:00-04:00,2948.75,3019.75,2947.75,2994.5,1023998,0.0,0.0
2020-05-27 00:00:00-04:00,2994.25,3039.75,2965.5,3035.5,1168154,0.0,0.0
2020-05-28 00:00:00-04:00,3034.5,3065.5,3019.5,3038.0,958717,0.0,0.0
2020-05-29 00:00:00-04:00,3036.0,3058.5,2992.25,3042.0,1176313,0.0,0.0
2020-06-01 00:00:00-04:00,3032.0,3058.75,3007.75,3054.0,714753,0.0,0.0
2020-06-02 00:00:00-04:00,3052.75,3079.25,3034.25,3077.0,764713,0.0,0.0
2020-06-03 00:00:00-04:00,3077.75,3129.5,3074.25,3117.75,732402,0.0,0.0
2020-06-04 00:00:00-04:00,3117.0,3127.0,3087.5,3110.5,1009461,0.0,0.0
2020-06-05 00:00:00-04:00,3113.5,3210.5,3106.25,3186.75,1112781,0.0,0.0
2020-06-08 00:00:00-04:00,3192.25,3231.25,3183.25,3227.5,790782,0.0,0.0
2020-06-09 00:00:00-04:00,3227.5,3231.0,3190.0,3205.5,916394,0.0,0.0
2020-06-10 00:00:00-04:00,3205.0,3227.25,3179.75,3186.0,1203733,0.0,0.0
2020-06-11 00:00:00-04:00,3183.75,3188.75,2996.25,3010.25,1888206,0.0,0.0
2020-06-12 00:00:00-04:00,3015.0,3087.75,2982.25,3034.75,676747,0.0,0.0
2020-06-15 00:00:00-04:00,3002.5,3079.5,2935.25,3073.0,379285,0.0,0.0
2020-06-16 00:00:00-04:00,3077.0,3167.0,3071.25,3128.75,261299,0.0,0.0
2020-06-17 00:00:00-04:00,3122.25,3158.0,3105.25,3118.0,109140,0.0,0.0
2020-06-18 00:00:00-04:00,3114.5,3130.5,3075.5,3109.0,87430,0.0,0.0
2020-06-19 00:00:00-04:00,3109.5,3161.260009765625,3106.5,3161.260009765625,1067306,0.0,0.0
2020-06-22 00:00:00-04:00,3043.0,3114.75,3027.5,3110.75,828328,0.0,0.0
2020-06-23 00:00:00-04:00,3111.75,3145.5,3060.25,3118.5,930977,0.0,0.0
2020-06-24 00:00:00-04:00,3113.0,3128.25,3019.5,3049.0,1389332,0.0,0.0
